original_sort_by_domain/table,domain,table,phase,field,type,constraint,notes
1,cif,parties,p1,id,bigint,PK,
2,cif,parties,p1,party_type,string,null: false,"# enum: person, organization"
3,cif,parties,p1,party_number,bigint,auto_increment,
4,cif,parties,p1,display_name,string,null: false,
5,cif,parties,p1,tax_id_last4,string,limit: 4,# encrypted
6,cif,parties,p1,status,string,"null: false, default: active","# enum: active, dormant, closed, noncustomer"
7,cif,parties,p1,primary_branch_id,bigint,FK: branches.id,
8,cif,parties,p1,opened_on,date,"null: false, default: current_date",
9,cif,parties,p1,closed_on,date,,"# required if status IN (dormant, closed)"
10,cif,parties,p1,created_at,datetime,,
11,cif,parties,p1,updated_at,datetime,,
12,cif,party_people,p2,id,bigint,PK,
13,cif,party_people,p2,party_id,bigint,FK: parties.id,
14,cif,party_people,p2,first_name,string,null: false,
15,cif,party_people,p2,middle_name,string,,
16,cif,party_people,p2,last_name,string,null: false,
17,cif,party_people,p2,date_of_birth,date,,
18,cif,party_people,p2,tax_reporting_name,string,,
19,cif,party_people,p2,citizenship_country,string,"null: false, limit: 2",# iso3166-2
20,cif,party_people,p2,created_at,datetime,,
21,cif,party_people,p2,updated_at,datetime,,
22,cif,party_organizations,p2,id,bigint,PK,
23,cif,party_organizations,p2,legal_name,string,null: false,
24,cif,party_organizations,p2,dba_name,string,,
25,cif,party_organizations,p2,formation_state,string,limit: 2,
26,cif,party_organizations,p2,entity_type,string,null: false,# enum: c_corp: estate: llc_c_corp: llc_disregarded: llc_partnership: llc_s_corp: partnership: s_corp: sole_proprietor: trust
27,cif,party_organizations,p2,created_at,datetime,,
28,cif,party_organizations,p2,updated_at,datetime,,
29,cif,party_contacts,p2,id,bigint,PK,
30,cif,party_contacts,p2,party_id,bigint,FK: parties.id,
31,cif,party_contacts,p2,"contact_type (phone, email, address)",string,null: false,"# enum: phone, email, address"
32,cif,party_contacts,p2,label,string,,
33,cif,party_contacts,p2,value,text (JSON),null: false,
34,cif,party_contacts,p2,is_primary,boolean,,
35,cif,party_contacts,p2,is_verified,boolean,,
36,cif,party_contacts,p2,effective_on,date,,
37,cif,party_contacts,p2,ends_on,date,,
38,cif,party_contacts,p2,created_at,datetime,,
39,cif,party_contacts,p2,updated_at,datetime,,
40,cif,party_identifiers,p2,id,bigint,"PK, auto_increment",
41,cif,party_identifiers,p2,party_id,bigint,FK: parties.id,
42,cif,party_identifiers,p2,identifier_type,,,
43,cif,party_identifiers,p2,masked_value,,,
44,cif,party_identifiers,p2,last4,,,
45,cif,party_identifiers,p2,issuer,,,
46,cif,party_identifiers,p2,verified_at,,,
47,cif,party_identifiers,p2,verification_status,,,
48,cif,party_identifiers,p2,expires_on,,,
49,cif,party_identifiers,p2,created_at,,,
50,cif,party_identifiers,p2,updated_at,,,
51,cif,party_relationships,p2,id,,,
52,cif,party_relationships,p2,party_id,,,
53,cif,party_relationships,p2,related_party_id,,,
54,cif,party_relationships,p2,relationship_type,,,
55,cif,party_relationships,p2,is_primary,,,
56,cif,party_relationships,p2,effective_on,,,
57,cif,party_relationships,p2,ends_on,,,
58,cif,party_relationships,p2,created_at,,,
59,cif,party_relationships,p2,updated_at,,,
60,cif,party_cards,p1,id,,,
61,cif,party_cards,p1,card_number_last4,,,
62,cif,party_cards,p1,card_type,,,
63,cif,party_cards,p1,status,,,
64,cif,party_cards,p1,issued_on,,,
65,cif,party_cards,p1,expires_on,,,
66,cif,party_cards,p1,party_id,,,
67,cif,party_cards,p1,created_at,,,
68,cif,party_cards,p1,updated_at,,,
69,cif,card_links,p1,id,,,
70,cif,card_links,p1,card_id,,,
71,cif,card_links,p1,account_id,,,
72,cif,card_links,p1,party_id,,,
73,cif,card_links,p1,link_role,,,
74,cif,card_links,p1,effective_on,,,
75,cif,card_links,p1,ends_on,,,
76,cif,card_links,p1,created_at,,,
77,cif,card_links,p1,updated_at,,,
78,cif,advisories,p2,id,,,
79,cif,advisories,p2,party_id,,,
80,cif,advisories,p2,account_id,,,
81,cif,advisories,p2,category,,,
82,cif,advisories,p2,priority,,,
83,cif,advisories,p2,subject,,,
84,cif,advisories,p2,body,,,
85,cif,advisories,p2,workspace_scope,,,
86,cif,advisories,p2,pinned,,,
87,cif,advisories,p2,effective_on,,,
88,cif,advisories,p2,expires_on,,,
89,cif,advisories,p2,acknowledged_at,,,
90,cif,advisories,p2,created_by_id,,,
91,cif,advisories,p2,created_at,,,
92,cif,advisories,p2,updated_at,,,
93,accounts,account_products,p2,id,,,
94,accounts,account_products,p2,product_code,,,
95,accounts,account_products,p2,name,,,
96,accounts,account_products,p2,product_family,,,
97,accounts,account_products,p2,currency_code,,,
98,accounts,account_products,p2,interest_method,,,
99,accounts,account_products,p2,statement_cycle,,,
100,accounts,account_products,p2,allow_overdraft,,,
101,accounts,account_products,p2,status,,,
102,accounts,account_products,p2,created_at,,,
103,accounts,account_products,p2,updated_at,,,
104,accounts,accounts,p1,id,,,
105,accounts,accounts,p1,account_number,,,
106,accounts,accounts,p1,account_reference,,,
107,accounts,accounts,p1,account_product_id,,,
108,accounts,accounts,p1,account_type,,,
109,accounts,accounts,p1,branch_id,,,
110,accounts,accounts,p1,currency_code,,,
111,accounts,accounts,p1,status,,,
112,accounts,accounts,p1,opened_on,,,
113,accounts,accounts,p1,closed_on,,,
114,accounts,accounts,p1,created_at,,,
115,accounts,accounts,p1,updated_at,,,
116,accounts,account_owners,p1,id,,,
117,accounts,account_owners,p1,account_id,,,
118,accounts,account_owners,p1,party_id,,,
119,accounts,account_owners,p1,role_type,,,
120,accounts,account_owners,p1,is_primary,,,
121,accounts,account_owners,p1,effective_on,,,
122,accounts,account_owners,p1,ends_on,,,
123,accounts,account_owners,p1,created_at,,,
124,accounts,account_owners,p1,updated_at,,,
125,accounts,deposit_accounts,p1,id,,,
126,accounts,deposit_accounts,p1,account_id,,,
127,accounts,deposit_accounts,p1,deposit_type,,,
128,accounts,deposit_accounts,p1,interest_bearing,,,
129,accounts,deposit_accounts,p1,overdraft_policy,,,
130,accounts,deposit_accounts,p1,minimum_balance_cents,,,
131,accounts,deposit_accounts,p1,created_at,,,
132,accounts,deposit_accounts,p1,updated_at,,,
133,accounts,loan_accounts,p1,id,,,
